Name,Confirmed,Confirmed Per Million,Confirmed Changes Today,Confirmed Percentage Day Change,Critical,Deceased,Deceased Per Million,Deceased Changes Today,Death Percentage Day Change,Tests,Active,Recovered,Recovered Per Million,Population
TOTAL,"66,936,322","8,591","97,747",0.15%,"105,992","1,535,979",197,"2,163",0.14%,"1,045,344,956","18,717,423","45,834,208","5,882","7,791,847,403"
Afghanistan,"47,901","1,219",260,0.55%,93,"1,875",48,10,0.54%,"158,811","8,244","37,782",961,"39,299,994"
Albania,"42,148","14,653",0,0%,27,889,309,0,0%,"197,235","19,973","21,286","7,400","2,876,435"
Algeria,"87,502","1,980",0,0%,46,"2,501",57,0,0%,NA,NA,"56,617","1,281","44,188,203"
Andorra,"7,005",NA,0,0%,20,78,NA,0,0%,"168,635",756,"6,171",NA,"77,318"
Angola,"15,536",467,0,0%,14,354,11,0,0%,"171,247","6,847","8,335",250,"33,295,883"
Antigua and Barbuda,144,NA,0,0%,1,4,NA,0,0%,"4,756",7,133,NA,"98,277"
Argentina,"1,459,832","32,173",0,0%,"3,757","39,632",873,0,0%,"4,084,362","131,415","1,288,785","28,404","45,373,860"
Armenia,"141,937","47,861",978,0.69%,NA,"2,326",784,17,0.74%,"528,876","22,815","116,796","39,383","2,965,637"
Austria,"300,689","33,304",0,0%,646,"3,757",416,0,0%,"3,229,393","47,491","249,441","27,628","9,028,534"
Azerbaijan,"142,323","13,983",0,0%,NA,"1,593",157,0,0%,"1,817,804","54,750","85,980","8,447","10,178,426"
The Bahamas,"7,570",NA,0,0%,NA,163,NA,0,0%,"44,502","1,412","5,995",NA,"394,857"
Bahrain,"87,732","50,820",0,0%,10,341,198,0,0%,"2,108,301","1,515","85,876","49,745","1,726,334"
Bangladesh,"475,789","2,877",0,0%,NA,"6,807",41,0,0%,"2,849,951","75,574","393,408","2,379","165,393,422"
Barbados,285,NA,0,0%,1,7,NA,0,0%,"49,307",18,260,NA,"287,527"
Belarus,"145,279","15,377",0,0%,NA,"1,198",127,0,0%,"3,398,759","21,742","122,339","12,949","9,447,977"
