Name,Confirmed,Confirmed Per Million,Confirmed Changes Today,Confirmed Percentage Day Change,Critical,Deceased,Deceased Per Million,Deceased Changes Today,Death Percentage Day Change,Tests,Active,Recovered,Recovered Per Million,Population
TOTAL,"69,466,126","8,914","242,330",0.35%,"106,852","1,579,824",203,"4,889",0.31%,"1,138,716,287","20,020,994","47,710,947","6,123","7,792,666,443"
Afghanistan,"48,753","1,240",213,0.44%,93,"1,939",49,18,0.94%,"165,463","8,593","38,221",972,"39,309,599"
Albania,"45,188","15,710",0,0%,39,951,331,0,0%,"206,724","21,165","23,072","8,021","2,876,401"
Algeria,"90,014","2,037",0,0%,46,"2,554",58,0,0%,NA,NA,"58,146","1,316","44,196,868"
Andorra,"7,162",NA,0,0%,20,78,NA,0,0%,"173,151",632,"6,452",NA,"77,320"
Angola,"15,804",474,0,0%,14,358,11,0,0%,"171,247","6,867","8,579",258,"33,307,109"
Antigua and Barbuda,146,NA,0,0%,2,4,NA,0,0%,"5,022",4,138,NA,"98,286"
Argentina,"1,475,222","32,509",0,0%,"3,688","40,222",886,0,0%,"4,145,226","123,512","1,311,488","28,901","45,378,388"
Armenia,"145,240","48,973","1,174",0.81%,NA,"2,416",815,23,0.96%,"539,337","20,942","121,882","41,097","2,965,697"
Austria,"313,688","34,742","2,686",0.86%,585,"4,163",461,107,2.64%,"3,329,997","39,860","269,665","29,866","9,029,094"
Azerbaijan,"162,774","15,990","4,219",2.66%,NA,"1,793",176,38,2.17%,"1,902,584","61,089","99,892","9,813","10,179,423"
The Bahamas,"7,585",NA,0,0%,11,163,NA,0,0%,"45,112","1,390","6,032",NA,"394,898"
Bahrain,"88,495","51,243",0,0%,6,347,201,0,0%,"2,149,366","1,630","86,518","50,098","1,726,984"
Bangladesh,"485,965","2,938","1,861",0.38%,NA,"6,967",42,37,0.53%,"2,927,929","68,546","410,452","2,481","165,411,340"
Barbados,290,NA,0,0%,1,7,NA,0,0%,"50,986",19,264,NA,"287,531"
Belarus,"154,392","16,341","1,939",1.27%,NA,"1,238",131,8,0.65%,"3,517,016","21,069","132,085","13,980","9,447,943"
Belize,"8,519",NA,0,0%,4,183,NA,0,0%,"45,712","4,261","4,075",NA,"400,780"
Benin,"3,090",252,0,0%,NA,44,4,0,0%,"360,194",74,"2,972",242,"12,260,793"
Bhutan,433,NA,0,0%,NA,NA,NA,0,0%,"213,442",NA,395,NA,"775,343"
Bolivia,"146,060","12,438",214,0.15%,71,"9,004",767,2,0.02%,"372,072","11,566","125,490","10,687","11,742,850"
Bosnia and Herzegovina,"97,317","29,745",0,0%,NA,"3,151",963,0,0%,"452,838","32,844","61,322","18,743","3,271,717"
Botswana,"12,058","5,083",0,0%,1,36,15,0,0%,"455,040","2,622","9,400","3,962","2,372,322"
Brunei,152,NA,0,0%,NA,3,NA,0,0%,"77,829",2,147,NA,"439,323"
Bulgaria,"171,493","24,764",0,0%,544,"5,283",763,0,0%,"1,041,360","94,132","72,078","10,408","6,925,092"
Burkina Faso,"3,469",164,0,0%,NA,69,3,0,0%,NA,NA,"2,742",130,"21,151,339"
Myanmar,"104,487","1,915","1,321",1.28%,NA,"2,201",40,27,1.24%,"1,374,159","19,473","82,813","1,518","54,570,759"
Burundi,720,60,0,0%,NA,1,NA,0,0%,"67,818",89,630,52,"12,043,691"
Cape Verde,"11,192",NA,0,0%,23,109,NA,0,0%,"106,553",323,"10,760",NA,"558,642"
Cambodia,356,21,2,0.56%,NA,NA,NA,0,0%,"242,754",NA,307,18,"16,820,418"
Cameroon,"24,963",930,0,0%,52,443,17,0,0%,"149,000","1,176","23,344",870,"26,832,555"
Central African Republic,"4,927","1,012",0,0%,2,63,13,0,0%,"32,711","2,940","1,924",395,"4,866,464"
Chad,"1,732",104,0,0%,NA,102,6,0,0%,NA,NA,"1,581",95,"16,629,594"
Hong Kong,"7,292",969,112,1.56%,43,114,15,0,0%,"4,382,709","1,278","5,900",784,"7,523,788"
Macao,46,NA,0,0%,NA,NA,NA,0,0%,"4,238",NA,46,NA,"653,217"
Comoros,617,NA,0,0%,NA,7,NA,0,0%,NA,NA,605,NA,"877,666"
Congo,"6,049","1,085",0,0%,NA,99,18,0,0%,NA,NA,"4,988",894,"5,577,031"
DR Congo,"13,996",154,153,1.11%,NA,350,4,0,0%,NA,NA,"12,208",135,"90,736,308"
Costa Rica,"148,688","29,071",0,0%,226,"1,864",364,0,0%,"423,417","39,200","107,624","21,043","5,114,601"
Ivory Coast,"21,547",808,0,0%,NA,133,5,0,0%,"227,882",238,"21,176",794,"26,661,711"
Croatia,"163,992","40,057","4,620",2.9%,296,"2,420",591,53,2.24%,"849,714","24,851","136,721","33,396","4,093,976"
Cuba,"9,106",804,0,0%,11,136,12,0,0%,"1,197,963",833,"8,137",719,"11,323,546"
Cyprus,"13,286","10,969",0,0%,20,68,56,0,0%,"639,047","11,161","2,057","1,698","1,211,236"
