Name,Confirmed,Confirmed Per Million,Confirmed Changes Today,Confirmed Percentage Day Change,Critical,Deceased,Deceased Per Million,Deceased Changes Today,Death Percentage Day Change,Tests,Active,Recovered,Recovered Per Million,Population
TOTAL,"72,734,967","9,333","103,190",0.14%,"106,194","1,620,654",208,"2,062",0.13%,"1,104,847,049","20,507,238","50,454,781","6,474","7,793,485,488"
Afghanistan,"49,273","1,253",0,0%,93,"1,971",50,0,0%,"169,413","8,918","38,384",976,"39,319,204"
Albania,"48,530","16,872",0,0%,39,"1,003",349,0,0%,"217,277","22,707","24,820","8,629","2,876,367"
Algeria,"92,102","2,083",0,0%,46,"2,596",59,0,0%,NA,NA,"60,457","1,368","44,205,533"
Andorra,"7,338",NA,0,0%,17,79,NA,0,0%,"173,151",630,"6,629",NA,"77,321"
Angola,"16,188",486,0,0%,14,371,11,0,0%,"171,247","6,919","8,898",267,"33,318,335"
Antigua and Barbuda,148,NA,0,0%,2,5,NA,0,0%,"5,188",5,138,NA,"98,295"
Argentina,"1,498,160","33,012",0,0%,"3,537","40,766",898,0,0%,"4,259,194","122,077","1,335,317","29,423","45,382,916"
Armenia,"148,682","50,133",357,0.24%,NA,"2,503",844,17,0.68%,"549,732","20,213","125,966","42,473","2,965,757"
Austria,"325,051","35,998","2,588",0.8%,594,"4,530",502,57,1.27%,"3,425,072","36,347","284,174","31,471","9,029,655"
Azerbaijan,"175,874","17,276",0,0%,NA,"1,922",189,0,0%,"1,953,303","62,034","111,918","10,993","10,180,421"
The Bahamas,"7,674",NA,15,0.2%,1,163,NA,0,0%,"46,513","1,441","6,070",NA,"394,939"
Bahrain,"89,143","51,598",0,0%,7,348,201,0,0%,"2,191,887","1,613","87,182","50,463","1,727,634"
Bangladesh,"492,332","2,976","1,799",0.37%,NA,"7,089",43,37,0.52%,"2,986,458","61,398","423,845","2,562","165,429,258"
Barbados,292,NA,0,0%,1,7,NA,0,0%,"52,861",16,269,NA,"287,535"
Belarus,"160,295","16,966",0,0%,NA,"1,263",134,0,0%,"3,609,517","20,568","138,464","14,656","9,447,909"
Belize,"9,295",NA,0,0%,3,195,NA,0,0%,"48,864","4,779","4,321",NA,"400,859"
Benin,"3,090",252,0,0%,NA,44,4,0,0%,"360,194",74,"2,972",242,"12,264,275"
Bhutan,438,NA,1,0.23%,NA,NA,NA,0,0%,"216,998",NA,403,NA,"775,436"
Bolivia,"147,150","12,529",120,0.08%,71,"9,018",768,4,0.04%,"377,562","11,911","126,221","10,747","11,744,591"
Bosnia and Herzegovina,"101,117","30,908",0,0%,NA,"3,336","1,020",0,0%,"465,140","32,023","65,758","20,100","3,271,495"
Botswana,"12,501","5,268",0,0%,1,37,16,0,0%,"470,387","2,524","9,940","4,189","2,372,842"
Brunei,152,NA,0,0%,NA,3,NA,0,0%,"77,829",2,147,NA,"439,369"
Bulgaria,"179,449","25,915",0,0%,590,"5,688",821,0,0%,"1,064,458","90,041","83,720","12,090","6,924,524"
Burkina Faso,"4,030",190,0,0%,NA,71,3,0,0%,NA,NA,"2,910",138,"21,157,626"
Myanmar,"108,342","1,985",0,0%,NA,"2,268",42,0,0%,"1,437,751","19,279","86,795","1,590","54,574,739"
Burundi,729,61,0,0%,NA,1,NA,0,0%,"70,060",88,640,53,"12,047,578"
Cape Verde,"11,357",NA,0,0%,23,110,NA,0,0%,"107,404",285,"10,962",NA,"558,708"
Cambodia,359,21,0,0%,NA,NA,NA,0,0%,"258,400",NA,309,18,"16,822,947"
Cameroon,"25,143",937,0,0%,50,443,17,0,0%,"149,000",849,"23,851",889,"26,839,799"
Central African Republic,"4,936","1,014",0,0%,2,63,13,0,0%,"32,711","2,949","1,924",395,"4,867,383"
Chad,"1,770",106,0,0%,NA,102,6,0,0%,NA,NA,"1,607",97,"16,634,766"
Hong Kong,"7,624","1,013",82,1.09%,46,118,16,1,0.85%,"4,656,410","1,240","6,266",833,"7,524,452"
Macao,46,NA,0,0%,NA,NA,NA,0,0%,"4,238",NA,46,NA,"653,314"
Comoros,628,NA,0,0%,NA,7,NA,0,0%,NA,NA,606,NA,"877,869"
Congo,"6,049","1,084",0,0%,NA,99,18,0,0%,NA,NA,"4,988",894,"5,578,520"
DR Congo,"14,461",159,0,0%,NA,352,4,0,0%,NA,NA,"12,465",137,"90,766,200"
Costa Rica,"150,947","29,510",0,0%,232,"1,895",370,0,0%,"431,232","36,430","112,622","22,018","5,115,109"
Ivory Coast,"21,680",813,0,0%,NA,133,5,0,0%,"234,067",249,"21,298",799,"26,668,871"
Croatia,"177,358","43,325","1,472",0.84%,284,"2,705",661,65,2.46%,"888,080","22,769","151,884","37,102","4,093,701"
Cuba,"9,423",832,0,0%,10,137,12,0,0%,"1,251,767",852,"8,434",745,"11,323,471"
Cyprus,"15,101","12,466",0,0%,20,78,64,0,0%,"663,696","12,966","2,057","1,698","1,211,331"
Czechia,"581,079","54,215","1,999",0.35%,506,"9,609",897,45,0.47%,"3,350,315","65,548","505,922","47,203","10,718,001"
Denmark,"109,758","18,919",0,0%,58,941,162,0,0%,"8,569,655","29,423","79,394","13,685","5,801,450"
Djibouti,"5,728",NA,0,0%,NA,61,61,0,0%,"95,261",49,"5,618",NA,"994,453"
Dominica,88,NA,0,0%,NA,NA,NA,0,0%,"6,618",NA,83,NA,"72,067"
Dominican Republic,"154,692","14,196",0,0%,235,"2,361",217,0,0%,"790,739","31,850","120,481","11,056","10,896,961"
Ecuador,"202,110","11,378",0,0%,335,"13,875",781,0,0%,"690,569","10,284","177,951","10,018","17,763,305"
Egypt,"121,575","1,178",0,0%,67,"6,920",67,0,0%,"1,000,000","9,780","104,875","1,016","103,197,841"
El Salvador,"41,880","6,442",249,0.6%,74,"1,205",185,5,0.42%,"584,631","2,588","38,087","5,859","6,501,025"
Equatorial Guinea,"5,185","3,643",0,0%,NA,85,60,0,0%,"72,627",42,"5,058","3,554","1,423,331"
Eritrea,711,199,0,0%,NA,NA,NA,0,0%,"23,693",NA,564,158,"3,568,479"
Estonia,"18,385","13,855",331,1.83%,24,154,116,5,3.36%,"548,666","7,110","11,121","8,381","1,326,940"
Eswatini,"6,768","5,807",0,0%,11,127,109,0,0%,"63,144",262,"6,379","5,473","1,165,579"
Ethiopia,"116,769","1,005",0,0%,314,"1,806",16,0,0%,"1,706,321","21,073","93,890",808,"116,230,450"
Fiji,46,NA,0,0%,NA,2,2,0,0%,"18,616",6,38,NA,"899,381"
Finland,"31,110","5,611",300,0.97%,26,453,82,0,0%,"2,169,813","10,657","20,000","3,607","5,544,629"
France,"2,376,852","36,377",0,0%,"2,871","57,911",886,0,0%,"28,942,112","2,141,946","176,995","2,709","65,339,066"
Gabon,"9,330","4,148",0,0%,5,63,28,0,0%,"329,481",85,"9,182","4,082","2,249,124"
The Gambia,"3,782","1,546",0,0%,1,123,50,0,0%,"27,056",12,"3,647","1,491","2,446,776"
Georgia,"191,063","47,937","1,337",0.7%,NA,"1,839",461,49,2.74%,"1,686,522","27,543","161,681","40,565","3,985,680"
Ghana,"53,014","1,690",81,0.15%,14,327,10,0,0%,"622,086",926,"51,761","1,650","31,362,555"
Greece,"124,534","11,975",0,0%,552,"3,625",349,0,0%,"2,582,260","97,835","23,074","2,219","10,399,817"
Grenada,69,NA,0,0%,NA,NA,NA,0,0%,"6,252",NA,41,NA,"112,759"
Guatemala,"129,282","7,157",0,0%,5,"4,423",245,0,0%,"581,401","6,936","117,923","6,528","18,063,872"
Guinea,"13,431","1,011",11,0.08%,24,79,6,0,0%,"85,157",685,"12,667",953,"13,290,915"
Guinea-Bissau,"2,444","1,229",0,0%,5,44,22,0,0%,"33,033",63,"2,337","1,175","1,988,716"
Guyana,"5,920",NA,0,0%,6,155,NA,0,0%,"33,898",692,"5,073",NA,"788,271"
Haiti,"9,491",828,0,0%,NA,233,20,0,0%,"34,734","1,017","8,241",719,"11,465,087"
Vatican City,27,NA,0,0%,NA,NA,NA,0,0%,NA,NA,15,NA,802
Honduras,"114,359","11,464",316,0.28%,112,"2,975",298,1,0.03%,"284,003","59,906","51,478","5,161","9,975,269"
Hungary,"283,870","29,419","3,470",1.24%,605,"7,130",739,165,2.37%,"2,320,419","194,194","82,546","8,555","9,649,176"
Iceland,"5,564",NA,7,0.13%,3,28,NA,0,0%,"408,658",144,"5,392",NA,"342,245"
Indonesia,"623,309","2,268","5,489",0.89%,NA,"18,956",69,137,0.73%,"6,424,385","93,396","510,957","1,859","274,827,175"
Iran,"1,115,770","13,208","7,501",0.68%,"5,711","52,447",621,251,0.48%,"6,750,359","240,092","823,231","9,745","84,476,530"
Iraq,"574,634","14,145",0,0%,206,"12,579",310,0,0%,"3,898,480","54,609","507,446","12,491","40,624,922"
Ireland,"76,185","15,352",0,0%,31,"2,124",428,0,0%,"2,101,317","50,697","23,364","4,708","4,962,632"
Israel,"358,293","38,955","1,117",0.31%,383,"3,003",326,4,0.13%,"6,631,970","17,691","337,599","36,705","9,197,590"
Jamaica,"11,710","3,947",0,0%,12,273,92,0,0%,"125,320","3,483","7,954","2,681","2,967,023"
Jordan,"259,614","25,331",0,0%,325,"3,365",328,0,0%,"2,829,006","37,782","218,467","21,316","10,248,811"
Kazakhstan,"186,277","9,868",747,0.4%,221,"2,552",135,0,0%,"4,871,752","26,024","157,701","8,354","18,877,808"
Kenya,"91,892","1,692",0,0%,48,"1,587",29,0,0%,"971,522","17,277","73,028","1,345","54,299,590"
South Korea,"43,484",848,718,1.68%,185,587,11,7,1.21%,"3,397,039","10,795","32,102",626,"51,289,233"
Kosovo,"46,580",NA,0,0%,NA,"1,198",NA,0,0%,NA,NA,"33,600",NA,NA
Kuwait,"146,218","34,013",0,0%,62,911,212,0,0%,"1,180,662","3,213","142,094","33,053","4,298,930"
Kyrgyzstan,"77,674","11,818",318,0.41%,94,"1,312",200,5,0.38%,"548,077","5,912","70,450","10,719","6,572,452"
Laos,41,6,0,0%,NA,NA,NA,0,0%,"85,064",NA,34,5,"7,322,977"
Latvia,"25,885","13,793",210,0.82%,37,352,188,3,0.86%,"731,547","8,664","16,869","8,989","1,876,636"
Lebanon,"146,520","21,511",0,0%,391,"1,200",176,0,0%,"1,783,660","43,986","101,334","14,877","6,811,499"
Lesotho,"2,250","1,047",0,0%,NA,44,20,0,0%,"27,964",887,"1,319",614,"2,149,920"
Liberia,"1,676",328,0,0%,2,83,16,0,0%,"35,957",235,"1,358",266,"5,110,629"
Libya,"91,357","13,215",578,0.64%,NA,"1,314",190,15,1.15%,"487,044","28,590","61,453","8,889","6,913,291"
Liechtenstein,"1,514",NA,0,0%,21,20,NA,0,0%,"15,808",198,"1,296",NA,"38,178"
Lithuania,"95,021","35,130","1,921",2.06%,191,825,305,10,1.23%,"1,421,759","55,239","38,957","14,403","2,704,835"
Luxembourg,"41,718",NA,0,0%,46,402,NA,0,0%,"1,507,746","9,638","31,678",NA,"630,545"
Madagascar,"17,587",628,0,0%,16,259,9,0,0%,"96,565",336,"16,992",607,"28,007,434"
Malawi,"6,066",313,0,0%,4,187,10,0,0%,"78,962",388,"5,491",284,"19,349,642"
Malaysia,"84,846","2,606","1,371",1.64%,114,419,13,4,0.96%,"2,940,782","13,830","70,597","2,169","32,552,528"
Maldives,"13,368",NA,0,0%,12,48,NA,0,0%,"269,425",614,"12,706",NA,"544,808"
Mali,"5,814",283,0,0%,NA,194,9,0,0%,"115,350","2,029","3,591",175,"20,509,323"
Malta,"11,153",NA,0,0%,18,169,NA,0,0%,"464,429","1,815","9,169",NA,"442,077"
Marshall Islands,4,NA,0,0%,NA,NA,NA,0,0%,NA,NA,4,NA,"59,371"
Mauritania,"10,971","2,332",0,0%,37,225,48,0,0%,"121,358","2,670","8,076","1,717","4,703,951"
Mauritius,515,405,0,0%,NA,10,8,0,0%,"289,552",27,478,376,"1,272,726"
Moldova,"126,518","31,396",0,0%,290,"2,572",638,0,0%,"505,420","15,045","108,901","27,025","4,029,692"
Monaco,668,NA,0,0%,4,3,NA,0,0%,"51,953",68,597,NA,"39,368"
Mongolia,912,276,5,0.55%,6,NA,NA,0,0%,"428,574",NA,384,116,"3,301,967"
Montenegro,"41,426",NA,0,0%,68,582,NA,0,0%,"154,233","10,351","30,493",NA,"628,102"
Morocco,"399,609","10,769",0,0%,"1,038","6,624",179,0,0%,"4,194,760","36,962","356,023","9,594","37,107,516"
Mozambique,"16,954",536,0,0%,NA,142,4,0,0%,"248,476","1,994","14,818",468,"31,643,794"
Namibia,"16,536","6,456",0,0%,15,160,62,0,0%,"175,923","1,692","14,684","5,733","2,561,504"
Nepal,"249,244","8,486",821,0.33%,NA,"1,716",58,18,1.06%,"1,836,464","10,955","236,573","8,055","29,371,432"
New Zealand,"2,096",419,0,0%,NA,25,5,0,0%,"1,341,978",56,"2,015",403,"5,002,100"
Nicaragua,"5,887",884,0,0%,NA,162,24,0,0%,NA,NA,"4,225",634,"6,660,035"
Niger,"2,258",92,0,0%,9,80,3,0,0%,"52,702",886,"1,292",53,"24,592,159"
Nigeria,"73,175",351,0,0%,10,"1,197",6,0,0%,"845,458","5,888","66,090",317,"208,412,524"
North Macedonia,"73,638","35,346",0,0%,138,"2,121","1,018",0,0%,"364,858","22,103","49,414","23,719","2,083,335"
Norway,"41,003","7,537",0,0%,33,387,71,0,0%,"2,421,445","6,153","34,463","6,335","5,440,392"
