Name,Confirmed,Confirmed Per Million,Confirmed Changes Today,Confirmed Percentage Day Change,Critical,Deceased,Deceased Per Million,Deceased Changes Today,Death Percentage Day Change,Tests,Active,Recovered,Recovered Per Million,Population
TOTAL,"68,017,845","8,729","84,049",0.12%,"106,079","1,552,303",199,"2,326",0.15%,"1,058,807,134","19,687,630","46,623,695","5,983","7,792,256,923"
Afghanistan,"48,363","1,230",227,0.47%,93,"1,908",49,6,0.32%,"161,815","8,422","38,033",968,"39,304,797"
Albania,"43,683","15,187",0,0%,35,922,321,0,0%,"201,572","20,581","22,180","7,711","2,876,418"
Algeria,"88,825","2,010",0,0%,46,"2,527",57,0,0%,NA,NA,"57,648","1,304","44,192,535"
Andorra,"7,084",NA,0,0%,20,78,NA,0,0%,"173,151",713,"6,293",NA,"77,319"
Angola,"15,648",470,0,0%,14,354,11,0,0%,"171,247","6,941","8,353",251,"33,301,496"
Antigua and Barbuda,146,NA,0,0%,2,4,NA,0,0%,"4,927",8,134,NA,"98,282"
Argentina,"1,466,309","32,315",0,0%,"3,723","39,888",879,0,0%,"4,111,139","125,725","1,300,696","28,665","45,376,124"
Armenia,"142,928","48,194",584,0.41%,NA,"2,372",800,28,1.19%,"532,527","21,409","119,147","40,175","2,965,667"
Austria,"305,693","33,857",0,0%,616,"3,897",432,0,0%,"3,262,088","44,985","256,811","28,443","9,028,814"
Azerbaijan,"149,765","14,713",0,0%,NA,"1,675",165,0,0%,"1,847,191","57,812","90,278","8,869","10,178,925"
The Bahamas,"7,579",NA,0,0%,11,163,NA,0,0%,"44,757","1,413","6,003",NA,"394,877"
Bahrain,"88,111","51,030",0,0%,11,341,197,0,0%,"2,129,571","1,555","86,215","49,932","1,726,659"
Bangladesh,"481,945","2,914","2,202",0.46%,NA,"6,906",42,32,0.47%,"2,894,622","73,845","401,194","2,426","165,402,381"
Barbados,287,NA,0,0%,1,7,NA,0,0%,"49,757",20,260,NA,"287,529"
Belarus,"148,953","15,766",0,0%,NA,"1,215",129,0,0%,"3,449,089","21,654","126,084","13,345","9,447,960"
Belize,"7,953",NA,0,0%,4,176,NA,0,0%,"44,051","3,834","3,943",NA,"400,741"
Benin,"3,073",251,0,0%,NA,44,4,0,0%,"353,070",107,"2,922",238,"12,259,052"
Bhutan,432,NA,2,0.47%,NA,NA,NA,0,0%,"210,037",NA,390,NA,"775,297"
Bolivia,"145,657","12,405",97,0.07%,71,"8,997",766,2,0.02%,"369,436","11,679","124,981","10,644","11,741,980"
Bosnia and Herzegovina,"94,944","29,019",0,0%,NA,"3,012",921,0,0%,"439,811","32,444","59,488","18,182","3,271,828"
Botswana,"12,058","5,083",0,0%,1,36,15,0,0%,"455,040","2,622","9,400","3,963","2,372,062"
Brunei,152,NA,1,0.66%,NA,3,NA,0,0%,"77,829",2,147,NA,"439,300"
Bulgaria,"164,185","23,708",0,0%,523,"5,010",723,0,0%,"1,023,067","93,559","65,616","9,475","6,925,376"
Burkina Faso,"3,315",157,0,0%,NA,68,3,0,0%,NA,NA,"2,721",129,"21,148,195"
Myanmar,"100,431","1,840",0,0%,NA,"2,132",39,0,0%,"1,307,744","19,059","79,240","1,452","54,568,769"
Burundi,698,58,0,0%,NA,1,NA,0,0%,"67,818",67,630,52,"12,041,747"
Cape Verde,"11,098",NA,0,0%,23,109,NA,0,0%,"105,814",313,"10,676",NA,"558,609"
Cambodia,350,21,2,0.57%,NA,NA,NA,0,0%,"242,754",NA,307,18,"16,819,153"
Cameroon,"24,752",923,0,0%,52,443,17,0,0%,"149,000",965,"23,344",870,"26,828,933"
Central African Republic,"4,922","1,012",0,0%,2,63,13,0,0%,"32,711","2,935","1,924",395,"4,866,005"
Chad,"1,728",104,0,0%,NA,102,6,0,0%,NA,NA,"1,571",94,"16,627,008"
Hong Kong,"7,076",941,100,1.43%,38,112,15,0,0%,"4,382,709","1,268","5,696",757,"7,523,456"
Macao,46,NA,0,0%,NA,NA,NA,0,0%,"4,238",NA,46,NA,"653,168"
Comoros,616,NA,0,0%,NA,7,NA,0,0%,NA,NA,600,NA,"877,565"
Congo,"5,774","1,035",0,0%,NA,94,17,0,0%,NA,NA,"4,988",895,"5,576,287"
DR Congo,"13,595",150,0,0%,NA,344,4,0,0%,NA,NA,"12,059",133,"90,721,362"
Costa Rica,"146,421","28,629",0,0%,212,"1,825",357,0,0%,"404,440","41,741","102,855","20,111","5,114,347"
Ivory Coast,"21,507",807,0,0%,NA,132,5,0,0%,"226,237",225,"21,150",793,"26,658,131"
Croatia,"152,239","37,185",0,0%,277,"2,233",545,0,0%,"816,241","22,124","127,882","31,236","4,094,114"
Cuba,"8,906",787,0,0%,10,136,12,0,0%,"1,186,621",773,"7,997",706,"11,323,584"
Cyprus,"12,867","10,623",0,0%,20,63,52,0,0%,"639,047","10,747","2,057","1,698","1,211,188"
Czechia,"551,070","51,417",0,0%,576,"9,036",843,0,0%,"3,217,762","57,253","484,781","45,232","10,717,676"
Denmark,"92,649","15,971",0,0%,43,894,154,0,0%,"7,976,385","19,873","71,882","12,391","5,801,116"
Djibouti,"5,708",NA,0,0%,NA,61,61,0,0%,"93,786",51,"5,596",NA,"994,217"
Dominica,85,NA,0,0%,NA,NA,NA,0,0%,"5,655",NA,72,NA,"72,064"
Dominican Republic,"149,138","13,688",0,0%,191,"2,346",215,0,0%,"757,043","29,390","117,402","10,776","10,895,179"
Ecuador,"198,244","11,163",0,0%,357,"13,780",776,0,0%,"672,954","10,276","174,188","9,808","17,758,911"
Egypt,"118,847","1,152",0,0%,46,"6,790",66,0,0%,"1,000,000","8,354","103,703","1,005","103,166,152"
El Salvador,"40,345","6,206",0,0%,65,"1,168",180,4,0.34%,"567,311","2,442","36,735","5,651","6,500,489"
Equatorial Guinea,"5,166","3,631",0,0%,NA,85,60,0,0%,"71,619",45,"5,036","3,540","1,422,572"
Eritrea,649,182,0,0%,NA,NA,NA,0,0%,"22,647",NA,517,145,"3,567,674"
Estonia,"15,510","11,689",285,1.87%,26,137,103,3,2.24%,"518,610","5,927","9,446","7,119","1,326,926"
Eswatini,"6,529","5,602",0,0%,11,123,106,0,0%,"63,144",312,"6,094","5,229","1,165,382"
Ethiopia,"113,735",979,0,0%,305,"1,755",15,0,0%,"1,673,957","29,177","82,803",713,"116,183,626"
Fiji,44,NA,0,0%,NA,2,2,0,0%,"16,703",9,33,NA,"899,275"
