Name,Confirmed,Confirmed Per Million,Confirmed Changes Today,Confirmed Percentage Day Change,Critical,Deceased,Deceased Per Million,Deceased Changes Today,Death Percentage Day Change,Tests,Active,Recovered,Recovered Per Million,Population
TOTAL,"72,220,080","9,267","127,835",0.18%,"106,820","1,613,863",207,"2,948",0.18%,"1,099,593,866","20,333,479","50,120,518","6,431","7,793,280,735"
Afghanistan,"49,273","1,253",321,0.66%,93,"1,971",50,11,0.56%,"169,413","8,918","38,384",976,"39,316,803"
Albania,"47,742","16,598",0,0%,39,989,344,0,0%,"214,776","22,233","24,520","8,525","2,876,376"
Algeria,"91,638","2,073",0,0%,46,"2,584",58,0,0%,NA,NA,"60,028","1,358","44,203,367"
Andorra,"7,288",NA,0,0%,17,78,NA,0,0%,"173,151",581,"6,629",NA,"77,321"
Angola,"16,161",485,0,0%,14,366,11,0,0%,"171,247","6,954","8,841",265,"33,315,528"
Antigua and Barbuda,148,NA,0,0%,2,4,NA,0,0%,"5,188",6,138,NA,"98,293"
Argentina,"1,494,602","32,934",0,0%,"3,594","40,668",896,0,0%,"4,237,401","123,774","1,330,160","29,310","45,381,784"
Armenia,"148,325","50,013","1,013",0.69%,NA,"2,486",838,24,0.97%,"548,359","20,670","125,169","42,205","2,965,742"
Austria,"322,463","35,712","2,641",0.83%,577,"4,473",495,58,1.31%,"3,407,510","36,884","281,106","31,132","9,029,515"
Azerbaijan,"175,874","17,276","4,451",2.6%,NA,"1,922",189,39,2.07%,"1,953,303","62,034","111,918","10,994","10,180,172"
The Bahamas,"7,659",NA,11,0.14%,1,163,NA,0,0%,"46,272","1,427","6,069",NA,"394,929"
Bahrain,"88,965","51,500",0,0%,6,348,201,0,0%,"2,180,017","1,592","87,025","50,377","1,727,472"
Bangladesh,"490,533","2,965","1,355",0.28%,NA,"7,052",43,32,0.46%,"2,969,630","62,585","420,896","2,544","165,424,778"
Barbados,292,NA,0,0%,1,7,NA,0,0%,"52,861",16,269,NA,"287,534"
Belarus,"160,295","16,966","1,961",1.24%,NA,"1,263",134,9,0.72%,"3,609,517","20,568","138,464","14,656","9,447,918"
Belize,"9,173",NA,0,0%,6,192,NA,0,0%,"48,456","4,702","4,279",NA,"400,839"
Benin,"3,090",252,0,0%,NA,44,4,0,0%,"360,194",74,"2,972",242,"12,263,404"
Bhutan,437,NA,1,0.23%,NA,NA,NA,0,0%,"216,254",NA,400,NA,"775,413"
Bolivia,"147,030","12,519",333,0.23%,71,"9,014",768,1,0.01%,"377,205","11,924","126,092","10,737","11,744,156"
Bosnia and Herzegovina,"100,306","30,660",0,0%,NA,"3,298","1,008",0,0%,"463,118","31,719","65,289","19,957","3,271,551"
Botswana,"12,501","5,269",0,0%,1,37,16,0,0%,"470,387","2,524","9,940","4,189","2,372,712"
Brunei,152,NA,0,0%,NA,3,NA,0,0%,"77,829",2,147,NA,"439,357"
Bulgaria,"178,952","25,843",0,0%,595,"5,626",812,0,0%,"1,062,824","91,569","81,757","11,807","6,924,666"
Burkina Faso,"3,894",184,0,0%,NA,71,3,0,0%,NA,NA,"2,858",135,"21,156,054"
Myanmar,"107,215","1,965",0,0%,NA,"2,245",41,0,0%,"1,419,187","19,564","85,406","1,565","54,573,744"
Burundi,728,60,0,0%,NA,1,NA,0,0%,"70,060",87,640,53,"12,046,606"
Cape Verde,"11,302",NA,0,0%,23,110,NA,0,0%,"107,404",270,"10,922",NA,"558,691"
Cambodia,359,21,2,0.56%,NA,NA,NA,0,0%,"258,400",NA,307,18,"16,822,315"
Cameroon,"25,143",937,0,0%,50,443,17,0,0%,"149,000",849,"23,851",889,"26,837,988"
Central African Republic,"4,936","1,014",0,0%,2,63,13,0,0%,"32,711","2,949","1,924",395,"4,867,154"
Chad,"1,751",105,0,0%,NA,102,6,0,0%,NA,NA,"1,603",96,"16,633,473"
Hong Kong,"7,542","1,002",95,1.28%,46,116,15,1,0.87%,"4,656,410","1,224","6,202",824,"7,524,286"
Macao,46,NA,0,0%,NA,NA,NA,0,0%,"4,238",NA,46,NA,"653,289"
Comoros,628,NA,0,0%,NA,7,NA,0,0%,NA,NA,606,NA,"877,818"
Congo,"6,049","1,084",0,0%,NA,99,18,0,0%,NA,NA,"4,988",894,"5,578,148"
DR Congo,"14,342",158,0,0%,NA,352,4,0,0%,NA,NA,"12,465",137,"90,758,727"
Costa Rica,"150,947","29,511",0,0%,232,"1,895",370,0,0%,"431,232","36,430","112,622","22,018","5,114,982"
Ivory Coast,"21,639",811,0,0%,NA,133,5,0,0%,"232,220",245,"21,261",797,"26,667,081"
Croatia,"175,886","42,964","3,363",1.95%,295,"2,640",645,78,3.04%,"882,282","25,035","148,211","36,204","4,093,770"
Cuba,"9,354",826,0,0%,8,137,12,0,0%,"1,229,513",846,"8,371",739,"11,323,490"
Cyprus,"14,476","11,951",0,0%,20,75,62,0,0%,"659,089","12,344","2,057","1,698","1,211,307"
Czechia,"579,079","54,029","3,655",0.64%,548,"9,535",890,45,0.47%,"3,339,753","64,878","504,666","47,086","10,717,947"
