Name,Confirmed,Confirmed Per Million,Confirmed Changes Today,Confirmed Percentage Day Change,Critical,Deceased,Deceased Per Million,Deceased Changes Today,Death Percentage Day Change,Tests,Active,Recovered,Recovered Per Million,Population
TOTAL,"71,633,210","9,192","212,349",0.3%,"106,544","1,604,770",206,"4,305",0.27%,"1,093,217,329","20,537,203","49,338,921","6,331","7,793,075,965"
Afghanistan,"48,952","1,245",126,0.26%,93,"1,960",50,11,0.56%,"167,758","8,664","38,328",975,"39,314,402"
Albania,"47,742","16,598",879,1.88%,39,989,344,12,1.23%,"212,042","22,233","24,520","8,525","2,876,384"
Algeria,"91,121","2,062",0,0%,46,"2,575",58,0,0%,NA,NA,"59,590","1,348","44,201,200"
Andorra,"7,236",NA,0,0%,17,78,NA,0,0%,"173,151",560,"6,598",NA,"77,320"
Angola,"16,061",482,0,0%,14,365,11,0,0%,"171,247","6,898","8,798",264,"33,312,722"
Antigua and Barbuda,147,NA,0,0%,2,4,NA,0,0%,"5,126",5,138,NA,"98,291"
Argentina,"1,489,328","32,819",0,0%,"3,620","40,606",895,0,0%,"4,210,197","123,930","1,324,792","29,193","45,380,652"
Armenia,"147,312","49,671",995,0.68%,NA,"2,462",830,17,0.7%,"545,240","20,329","124,521","41,987","2,965,727"
Austria,"319,822","35,420","3,241",1.02%,591,"4,415",489,126,2.94%,"3,386,308","37,524","277,883","30,775","9,029,375"
Azerbaijan,"171,423","16,839","4,268",2.55%,NA,"1,883",185,43,2.34%,"1,938,244","61,905","107,635","10,573","10,179,922"
The Bahamas,"7,623",NA,0,0%,1,163,NA,0,0%,"45,657","1,417","6,043",NA,"394,918"
Bahrain,"88,820","51,421",0,0%,7,347,201,0,0%,"2,170,286","1,606","86,867","50,290","1,727,309"
Bangladesh,"489,178","2,957","1,329",0.27%,NA,"7,020",42,34,0.49%,"2,956,882","64,655","417,503","2,524","165,420,299"
Barbados,292,NA,0,0%,1,7,NA,0,0%,"52,861",16,269,NA,"287,533"
Belarus,"158,334","16,759","1,975",1.26%,NA,"1,254",133,8,0.64%,"3,578,661","21,158","135,922","14,386","9,447,926"
Belize,"8,965",NA,0,0%,4,185,NA,0,0%,"47,715","4,561","4,219",NA,"400,820"
Benin,"3,090",252,0,0%,NA,44,4,0,0%,"360,194",74,"2,972",242,"12,262,534"
Bhutan,436,NA,2,0.46%,NA,NA,NA,0,0%,"214,336",NA,396,NA,"775,389"
Bolivia,"146,697","12,492",312,0.21%,71,"9,013",767,5,0.06%,"375,921","11,798","125,886","10,719","11,743,720"
Bosnia and Herzegovina,"99,543","30,426",0,0%,NA,"3,250",993,0,0%,"460,177","32,560","63,733","19,481","3,271,606"
Botswana,"12,501","5,269",0,0%,1,37,16,0,0%,"470,387","2,524","9,940","4,190","2,372,582"
Brunei,152,NA,0,0%,NA,3,NA,0,0%,"77,829",2,147,NA,"439,346"
Bulgaria,"177,665","25,656",0,0%,588,"5,562",803,0,0%,"1,058,417","92,581","79,522","11,484","6,924,808"
Burkina Faso,"3,750",177,171,4.78%,NA,71,3,2,2.9%,NA,NA,"2,828",134,"21,154,482"
Myanmar,"107,215","1,965","1,352",1.28%,NA,"2,245",41,25,1.13%,"1,419,187","19,564","85,406","1,565","54,572,749"
Burundi,723,60,0,0%,NA,1,NA,0,0%,"70,060",82,640,53,"12,045,634"
Cape Verde,"11,262",NA,0,0%,23,110,NA,0,0%,"106,885",258,"10,894",NA,"558,675"
Cambodia,357,21,0,0%,NA,NA,NA,0,0%,"251,032",NA,307,18,"16,821,683"
Cameroon,"25,087",935,0,0%,50,443,17,0,0%,"149,000",793,"23,851",889,"26,836,177"
Central African Republic,"4,936","1,014",0,0%,2,63,13,0,0%,"32,711","2,949","1,924",395,"4,866,924"
Chad,"1,745",105,0,0%,NA,102,6,0,0%,NA,NA,"1,595",96,"16,632,180"
Hong Kong,"7,447",990,69,0.94%,49,114,15,0,0%,"4,656,410","1,219","6,114",813,"7,524,120"
Macao,46,NA,0,0%,NA,NA,NA,0,0%,"4,238",NA,46,NA,"653,265"
Comoros,617,NA,0,0%,NA,7,NA,0,0%,NA,NA,605,NA,"877,767"
Congo,"6,049","1,084",0,0%,NA,99,18,0,0%,NA,NA,"4,988",894,"5,577,776"
DR Congo,"14,342",158,172,1.21%,NA,352,4,2,0.57%,NA,NA,"12,465",137,"90,751,254"
Costa Rica,"150,947","29,511",0,0%,232,"1,895",370,0,0%,"427,104","36,430","112,622","22,019","5,114,855"
