Name,Confirmed,Confirmed Per Million,Confirmed Changes Today,Confirmed Percentage Day Change,Critical,Deceased,Deceased Per Million,Deceased Changes Today,Death Percentage Day Change,Tests,Active,Recovered,Recovered Per Million,Population
TOTAL,"66,294,914","8,508","83,435",0.13%,"106,140","1,525,704",196,"2,099",0.14%,"1,039,322,101","19,231,348","45,383,877","5,825","7,791,642,641"
Afghanistan,"47,641","1,212",253,0.53%,93,"1,865",47,18,0.97%,"157,316","8,291","37,485",954,"39,297,593"
Albania,"41,302","14,359",0,0%,27,870,302,0,0%,"192,663","19,458","20,974","7,292","2,876,444"
Algeria,"86,730","1,963",0,0%,46,"2,492",56,0,0%,NA,NA,"56,079","1,269","44,186,036"
Andorra,"6,955",NA,0,0%,20,77,NA,0,0%,"168,635",748,"6,130",NA,"77,318"
Angola,"15,493",465,0,0%,14,353,11,0,0%,"171,247","6,841","8,299",249,"33,293,076"
Antigua and Barbuda,144,NA,0,0%,1,4,NA,0,0%,"4,756",7,133,NA,"98,275"
Argentina,"1,454,631","32,060",0,0%,"3,929","39,512",871,0,0%,"4,055,795","133,164","1,281,955","28,254","45,372,728"
Armenia,"140,959","47,531","1,267",0.91%,NA,"2,309",779,32,1.41%,"526,148","22,584","116,066","39,137","2,965,622"
Austria,"297,245","32,923",0,0%,642,"3,651",404,0,0%,"3,209,340","49,819","243,775","27,001","9,028,394"
Azerbaijan,"138,000","13,558",0,0%,NA,"1,551",152,0,0%,"1,797,026","52,649","83,800","8,233","10,178,176"
The Bahamas,"7,565",NA,0,0%,NA,163,NA,0,0%,"44,273","1,426","5,976",NA,"394,847"
Bahrain,"87,600","50,748",0,0%,12,341,198,0,0%,"2,099,301","1,549","85,710","49,653","1,726,172"
Bangladesh,"473,991","2,866",0,0%,NA,"6,772",41,0,0%,"2,836,411","76,268","390,951","2,364","165,388,942"
Barbados,284,NA,0,0%,NA,7,NA,0,0%,"48,896",20,257,NA,"287,526"
Belarus,"143,383","15,176",0,0%,NA,"1,190",126,0,0%,"3,367,889","21,622","120,571","12,762","9,447,986"
Belize,"7,383",NA,0,0%,4,170,NA,0,0%,"41,868","3,488","3,725",NA,"400,681"
Benin,"3,055",249,0,0%,NA,44,4,0,0%,"345,560",104,"2,907",237,"12,256,440"
Bhutan,424,NA,6,1.44%,NA,NA,NA,0,0%,"207,557",NA,387,NA,"775,227"
Bolivia,"145,325","12,378",139,0.1%,71,"8,987",765,5,0.06%,"367,150","11,948","124,390","10,595","11,740,674"
Bosnia and Herzegovina,"92,793","28,360",0,0%,NA,"2,865",876,0,0%,"432,980","32,383","57,545","17,587","3,271,995"
Botswana,"11,531","4,862",0,0%,1,34,14,0,0%,"438,332","2,519","8,978","3,786","2,371,672"
Brunei,151,NA,0,0%,NA,3,NA,0,0%,"77,829",2,146,NA,"439,266"
Bulgaria,"158,807","22,930",0,0%,504,"4,650",671,0,0%,"1,009,397","94,480","59,677","8,617","6,925,803"
Burkina Faso,"3,091",146,0,0%,NA,68,3,0,0%,NA,NA,"2,687",127,"21,143,479"
Myanmar,"96,520","1,769",0,0%,NA,"2,059",38,0,0%,"1,246,524","19,488","74,973","1,374","54,565,784"
Burundi,692,57,0,0%,NA,1,NA,0,0%,"62,215",116,575,48,"12,038,832"
Cape Verde,"10,996",NA,0,0%,23,108,NA,0,0%,"105,008",392,"10,496",NA,"558,560"
Cambodia,345,21,10,2.99%,NA,NA,NA,0,0%,"238,478",NA,305,18,"16,817,256"
Cameroon,"24,752",923,0,0%,52,443,17,0,0%,"149,000",965,"23,344",870,"26,823,500"
Central African Republic,"4,918","1,011",0,0%,2,63,13,0,0%,"32,711","2,931","1,924",395,"4,865,316"
Chad,"1,719",103,0,0%,NA,102,6,0,0%,NA,NA,"1,555",94,"16,623,129"
Hong Kong,"6,803",904,101,1.51%,29,112,15,0,0%,"4,382,709","1,180","5,511",733,"7,522,958"
Macao,46,NA,0,0%,NA,NA,NA,0,0%,"4,238",NA,46,NA,"653,096"
Comoros,615,NA,0,0%,NA,7,NA,0,0%,NA,NA,590,NA,"877,412"
Congo,"5,774","1,036",0,0%,NA,94,17,0,0%,NA,NA,"4,988",895,"5,575,170"
DR Congo,"13,281",146,0,0%,NA,337,4,0,0%,NA,NA,"11,753",130,"90,698,943"
Costa Rica,"143,685","28,097",0,0%,212,"1,773",347,0,0%,"404,440","46,123","95,789","18,731","5,113,966"
Ivory Coast,"21,412",803,0,0%,NA,132,5,0,0%,"222,462",226,"21,054",790,"26,652,760"
Croatia,"143,370","35,017",0,0%,262,"2,032",496,0,0%,"790,883","24,190","117,148","28,612","4,094,320"
Cuba,"8,610",760,0,0%,4,136,12,0,0%,"1,157,127",616,"7,858",694,"11,323,640"
Cyprus,"11,812","9,753",0,0%,15,57,47,0,0%,"632,950","9,698","2,057","1,698","1,211,116"
Czechia,"542,406","50,609",0,0%,586,"8,738",815,0,0%,"3,152,545","59,674","473,994","44,226","10,717,514"
Denmark,"86,743","14,953",0,0%,40,867,149,0,0%,"7,731,119","17,244","68,632","11,831","5,800,950"
Djibouti,"5,690",NA,0,0%,NA,61,61,0,0%,"93,060",37,"5,592",NA,"994,099"
Dominica,85,NA,0,0%,NA,NA,NA,0,0%,"5,655",NA,72,NA,"72,063"
Dominican Republic,"146,680","13,464",0,0%,182,"2,343",215,0,0%,"738,156","28,168","116,169","10,663","10,894,288"
Ecuador,"196,482","11,065",0,0%,356,"13,696",771,0,0%,"666,724","12,982","169,804","9,563","17,756,714"
Egypt,"117,583","1,140",0,0%,46,"6,732",65,0,0%,"1,000,000","7,660","103,191","1,000","103,150,307"
El Salvador,"39,718","6,110",0,0%,48,"1,153",177,11,0.96%,"560,018","2,279","36,286","5,582","6,500,222"
Equatorial Guinea,"5,159","3,627",0,0%,NA,85,60,0,0%,"70,998",51,"5,023","3,532","1,422,192"
Eritrea,632,177,0,0%,NA,NA,NA,0,0%,"21,655",NA,508,142,"3,567,272"
Estonia,"14,500","10,928",561,4.02%,17,126,95,1,0.8%,"505,904","5,455","8,919","6,722","1,326,919"
Eswatini,"6,480","5,561",0,0%,11,122,105,0,0%,"63,144",292,"6,066","5,206","1,165,284"
Ethiopia,"112,091",965,0,0%,317,"1,734",15,0,0%,"1,658,190","31,738","78,619",677,"116,160,214"
Fiji,44,NA,0,0%,NA,2,2,0,0%,"16,703",9,33,NA,"899,222"
Finland,"26,758","4,826",0,0%,21,408,74,0,0%,"2,033,123","8,250","18,100","3,265","5,544,418"
France,"2,268,552","34,722",0,0%,"3,293","54,767",838,0,0%,"20,879,180","2,045,433","168,352","2,577","65,335,525"
Gabon,"9,254","4,117",0,0%,6,60,27,0,0%,"311,091",88,"9,106","4,051","2,247,829"
The Gambia,"3,768","1,541",0,0%,2,123,50,0,0%,"25,812",32,"3,613","1,478","2,445,100"
Georgia,"158,154","39,679","5,450",3.57%,NA,"1,462",367,37,2.6%,"1,207,234","27,482","129,210","32,417","3,985,868"
Ghana,"52,096","1,662",0,0%,19,325,10,0,0%,"601,007",847,"50,924","1,625","31,346,573"
Greece,"113,185","10,882",0,0%,612,"2,804",270,0,0%,"2,450,855","87,307","23,074","2,218","10,401,063"
Grenada,41,NA,0,0%,NA,NA,NA,0,0%,"6,252",NA,39,NA,"112,746"
Guatemala,"124,805","6,912",0,0%,5,"4,224",234,0,0%,"551,173","7,308","113,273","6,274","18,055,711"
Guinea,"13,186",993,0,0%,24,76,6,0,0%,"78,418",840,"12,270",924,"13,282,123"
Guinea-Bissau,"2,441","1,228",0,0%,5,44,22,0,0%,"29,037",70,"2,327","1,171","1,987,569"
Guyana,"5,601",NA,0,0%,5,151,NA,0,0%,"31,270",755,"4,695",NA,"788,178"
