Name,Confirmed,Confirmed Per Million,Confirmed Changes Today,Confirmed Percentage Day Change,Critical,Deceased,Deceased Per Million,Deceased Changes Today,Death Percentage Day Change,Tests,Active,Recovered,Recovered Per Million,Population
TOTAL,"63,649,292","8,170","70,644",0.11%,"106,012","1,475,157",189,"1,701",0.12%,"1,007,686,181","18,455,125","43,551,101","5,590","7,790,823,588"
Afghanistan,"46,498","1,184",0,0%,93,"1,774",45,0,0%,"149,100","7,936","36,788",936,"39,287,988"
Albania,"38,182","13,274",0,0%,27,810,282,0,0%,"186,045","18,523","18,849","6,553","2,876,478"
Algeria,"83,199","1,883",0,0%,46,"2,431",55,0,0%,NA,NA,"53,809","1,218","44,177,371"
Andorra,"6,745",NA,0,0%,20,76,NA,0,0%,"168,635",796,"5,873",NA,"77,317"
Angola,"15,139",455,0,0%,16,348,10,0,0%,"171,247","6,940","7,851",236,"33,281,850"
Antigua and Barbuda,141,NA,0,0%,2,4,NA,0,0%,"4,679",7,130,NA,"98,266"
Argentina,"1,424,533","31,399",0,0%,"4,062","38,730",854,0,0%,"3,892,522","128,576","1,257,227","27,712","45,368,199"
Armenia,"135,967","45,849",843,0.62%,NA,"2,193",739,29,1.34%,"512,617","23,409","110,365","37,216","2,965,561"
Austria,"282,456","31,287",0,0%,701,"3,184",353,0,0%,"3,098,318","57,580","221,692","24,557","9,027,833"
Azerbaijan,"121,176","11,907",0,0%,NA,"1,392",137,0,0%,"1,728,577","44,882","74,902","7,360","10,177,178"
The Bahamas,"7,541",NA,0,0%,NA,163,NA,0,0%,"43,593","1,489","5,889",NA,"394,806"
Bahrain,"86,956","50,394",0,0%,14,341,198,0,0%,"2,053,974","1,474","85,141","49,342","1,725,521"
Bangladesh,"464,932","2,811",0,0%,NA,"6,644",40,0,0%,"2,772,701","77,577","380,711","2,302","165,371,024"
Barbados,276,NA,0,0%,NA,7,NA,0,0%,"47,036",19,250,NA,"287,522"
Belarus,"138,219","14,629","1,572",1.15%,NA,"1,166",123,8,0.69%,"3,279,137","21,466","115,587","12,234","9,448,019"
Belize,"5,854",NA,111,1.93%,7,148,NA,1,0.68%,"30,881","2,555","3,151",NA,"400,602"
Benin,"3,015",246,0,0%,NA,43,4,0,0%,"336,377",133,"2,839",232,"12,252,958"
Bhutan,410,NA,14,3.54%,NA,NA,NA,0,0%,"202,849",NA,381,NA,"775,134"
Bolivia,"144,708","12,327",86,0.06%,71,"8,957",763,5,0.06%,"361,298","14,049","121,702","10,367","11,738,934"
Bosnia and Herzegovina,"87,901","26,863",0,0%,NA,"2,681",819,0,0%,"418,107","32,451","52,769","16,126","3,272,216"
Botswana,"10,742","4,530",0,0%,1,34,14,0,0%,"422,359","2,796","7,912","3,337","2,371,152"
Brunei,151,NA,1,0.67%,NA,3,NA,0,0%,"77,493",3,145,NA,"439,220"
Bulgaria,"145,300","20,978",0,0%,457,"4,035",583,0,0%,"973,251","90,700","50,565","7,300","6,926,371"
Burkina Faso,"2,886",137,0,0%,NA,68,3,0,0%,NA,NA,"2,593",123,"21,137,192"
Myanmar,"90,713","1,663",0,0%,NA,"1,941",36,0,0%,"1,163,776","18,616","70,156","1,286","54,561,804"
Burundi,688,57,0,0%,NA,1,NA,0,0%,"62,215",112,575,48,"12,034,945"
Cape Verde,"10,761",NA,0,0%,23,105,NA,0,0%,"104,104",327,"10,329",NA,"558,494"
Cambodia,326,19,3,0.93%,NA,NA,NA,0,0%,"231,443",NA,304,18,"16,814,727"
Cameroon,"24,445",912,0,0%,52,437,16,0,0%,"149,000","1,831","22,177",827,"26,816,256"
Central African Republic,"4,913","1,010",0,0%,2,63,13,0,0%,"32,711","2,926","1,924",396,"4,864,397"
Chad,"1,688",102,0,0%,NA,101,6,0,0%,NA,NA,"1,525",92,"16,617,956"
Hong Kong,"6,315",840,0,0%,11,109,14,0,0%,"4,153,109",862,"5,344",710,"7,522,294"
Macao,46,NA,0,0%,NA,NA,NA,0,0%,"4,238",NA,46,NA,"652,999"
Comoros,611,NA,0,0%,NA,7,NA,0,0%,NA,NA,586,NA,"877,210"
Congo,"5,774","1,036",0,0%,NA,94,17,0,0%,NA,NA,"4,988",895,"5,573,681"
DR Congo,"12,772",141,0,0%,NA,333,4,0,0%,NA,NA,"11,585",128,"90,669,051"
Costa Rica,"139,638","27,308",0,0%,211,"1,726",338,0,0%,"397,311","50,386","87,526","17,117","5,113,459"
Ivory Coast,"21,331",801,0,0%,NA,132,5,0,0%,"218,207",235,"20,964",787,"26,645,600"
Croatia,"128,442","31,369",0,0%,255,"1,786",436,0,0%,"749,346","21,457","105,199","25,692","4,094,595"
Cuba,"8,284",732,0,0%,3,135,12,0,0%,"1,115,144",518,"7,631",674,"11,323,716"
Cyprus,"10,565","8,724",0,0%,15,49,40,0,0%,"619,420","8,459","2,057","1,699","1,211,020"
Czechia,"523,298","48,827",0,0%,689,"8,295",774,0,0%,"3,065,132","63,396","451,607","42,138","10,717,297"
Denmark,"80,481","13,874",0,0%,44,837,144,0,0%,"7,426,343","16,129","63,515","10,949","5,800,727"
Djibouti,"5,679",NA,0,0%,NA,61,61,0,0%,"91,994",34,"5,584",NA,"993,942"
Dominica,85,NA,0,0%,NA,NA,NA,0,0%,"5,655",NA,63,NA,"72,061"
Dominican Republic,"143,988","13,218",0,0%,192,"2,331",214,0,0%,"718,735","26,438","115,219","10,577","10,893,100"
Ecuador,"192,685","10,853",0,0%,372,"13,461",758,0,0%,"651,702","9,420","169,804","9,564","17,753,784"
Egypt,"115,911","1,124",0,0%,46,"6,650",64,0,0%,"1,000,000","6,543","102,718",996,"103,129,181"
El Salvador,"39,130","6,020",189,0.49%,33,"1,120",172,6,0.54%,"552,608","2,171","35,839","5,514","6,499,865"
Equatorial Guinea,"5,153","3,625",0,0%,NA,85,60,0,0%,"70,345",59,"5,009","3,523","1,421,686"
Eritrea,577,162,0,0%,NA,NA,NA,0,0%,"21,655",NA,498,140,"3,566,735"
Estonia,"12,497","9,418",191,1.55%,17,121,91,3,2.54%,"483,091","4,840","7,536","5,679","1,326,909"
Eswatini,"6,419","5,509",0,0%,11,122,105,0,0%,"62,213",291,"6,006","5,155","1,165,153"
Ethiopia,"110,074",948,0,0%,323,"1,706",15,0,0%,"1,636,729","34,560","73,808",636,"116,128,998"
Fiji,42,NA,0,0%,NA,2,2,0,0%,"16,229",7,33,NA,"899,151"
