Name,Confirmed,Confirmed Per Million,Confirmed Changes Today,Confirmed Percentage Day Change,Critical,Deceased,Deceased Per Million,Deceased Changes Today,Death Percentage Day Change,Tests,Active,Recovered,Recovered Per Million,Population
TOTAL,"70,785,317","9,083","85,022",0.12%,"106,646","1,589,742",204,"2,076",0.13%,"1,085,002,489","20,325,206","48,714,963","6,251","7,792,871,215"
Afghanistan,"48,826","1,242",73,0.15%,93,"1,949",50,10,0.52%,"166,698","8,611","38,266",973,"39,312,001"
Albania,"46,061","16,013",0,0%,39,965,335,0,0%,"209,438","21,487","23,609","8,208","2,876,393"
Algeria,"90,579","2,049",0,0%,46,"2,564",58,0,0%,NA,NA,"59,135","1,338","44,199,034"
Andorra,"7,190",NA,0,0%,17,78,NA,0,0%,"173,151",607,"6,505",NA,"77,320"
Angola,"15,925",478,0,0%,14,362,11,0,0%,"171,247","6,884","8,679",261,"33,309,915"
Antigua and Barbuda,146,NA,0,0%,2,4,NA,0,0%,"5,022",4,138,NA,"98,289"
Argentina,"1,482,216","32,663",0,0%,"3,665","40,431",891,0,0%,"4,173,392","123,598","1,318,187","29,048","45,379,520"
Armenia,"146,317","49,336","1,077",0.74%,NA,"2,445",824,29,1.2%,"542,394","20,398","123,474","41,634","2,965,712"
Austria,"313,688","34,741",0,0%,585,"4,163",461,0,0%,"3,329,997","39,860","269,665","29,866","9,029,235"
Azerbaijan,"162,774","15,990",0,0%,NA,"1,793",176,0,0%,"1,902,584","61,089","99,892","9,813","10,179,673"
The Bahamas,"7,585",NA,0,0%,11,163,NA,0,0%,"45,112","1,390","6,032",NA,"394,908"
Bahrain,"88,632","51,317",0,0%,6,347,201,0,0%,"2,160,368","1,601","86,684","50,189","1,727,147"
Bangladesh,"485,965","2,938",0,0%,NA,"6,967",42,0,0%,"2,927,929","68,546","410,452","2,481","165,415,819"
Barbados,291,NA,0,0%,1,7,NA,0,0%,"52,152",15,269,NA,"287,532"
Belarus,"154,392","16,341",0,0%,NA,"1,238",131,0,0%,"3,517,016","21,069","132,085","13,980","9,447,935"
Belize,"8,805",NA,0,0%,6,183,NA,0,0%,"46,743","4,481","4,141",NA,"400,800"
Benin,"3,090",252,0,0%,NA,44,4,0,0%,"360,194",74,"2,972",242,"12,261,663"
Bhutan,434,NA,1,0.23%,NA,NA,NA,0,0%,"214,334",NA,395,NA,"775,366"
Bolivia,"146,385","12,465",325,0.22%,71,"9,008",767,4,0.04%,"374,235","11,661","125,716","10,705","11,743,285"
Bosnia and Herzegovina,"98,603","30,139",0,0%,NA,"3,199",978,0,0%,"452,838","32,812","62,592","19,132","3,271,662"
Botswana,"12,501","5,269",0,0%,1,37,16,0,0%,"470,387","2,524","9,940","4,190","2,372,452"
Brunei,152,NA,0,0%,NA,3,NA,0,0%,"77,829",2,147,NA,"439,334"
Bulgaria,"174,568","25,209",0,0%,542,"5,405",781,0,0%,"1,049,830","93,931","75,232","10,864","6,924,950"
Burkina Faso,"3,579",169,0,0%,NA,69,3,0,0%,NA,NA,"2,792",132,"21,152,911"
Myanmar,"104,487","1,915",0,0%,NA,"2,201",40,0,0%,"1,374,159","19,473","82,813","1,518","54,571,754"
Burundi,720,60,0,0%,NA,1,NA,0,0%,"67,818",89,630,52,"12,044,663"
Cape Verde,"11,203",NA,0,0%,23,109,NA,0,0%,"106,885",258,"10,836",NA,"558,658"
Cambodia,357,21,1,0.28%,NA,NA,NA,0,0%,"242,754",NA,307,18,"16,821,050"
Cameroon,"24,963",930,0,0%,52,443,17,0,0%,"149,000","1,176","23,344",870,"26,834,366"
Central African Republic,"4,927","1,012",0,0%,2,63,13,0,0%,"32,711","2,940","1,924",395,"4,866,694"
Chad,"1,739",105,0,0%,NA,102,6,0,0%,NA,NA,"1,587",95,"16,630,887"
Hong Kong,"7,292",969,0,0%,43,114,15,0,0%,"4,382,709","1,278","5,900",784,"7,523,954"
Macao,46,NA,0,0%,NA,NA,NA,0,0%,"4,238",NA,46,NA,"653,241"
Comoros,617,NA,0,0%,NA,7,NA,0,0%,NA,NA,605,NA,"877,717"
Congo,"6,049","1,085",0,0%,NA,99,18,0,0%,NA,NA,"4,988",894,"5,577,404"
DR Congo,"13,997",154,0,0%,NA,350,4,0,0%,NA,NA,"12,208",135,"90,743,781"
Costa Rica,"149,815","29,291",0,0%,238,"1,882",368,0,0%,"427,104","38,078","109,855","21,478","5,114,728"
Ivory Coast,"21,590",810,0,0%,NA,133,5,0,0%,"229,493",254,"21,203",795,"26,663,501"
Croatia,"163,992","40,058",0,0%,296,"2,420",591,0,0%,"849,714","24,851","136,721","33,396","4,093,907"
Cuba,"9,181",811,0,0%,11,136,12,0,0%,"1,218,718",833,"8,212",725,"11,323,528"
Cyprus,"13,649","11,268",0,0%,20,70,58,0,0%,"651,431","11,522","2,057","1,698","1,211,259"
Czechia,"569,205","53,108","5,864",1.04%,550,"9,341",872,57,0.61%,"3,294,949","62,036","497,828","46,449","10,717,838"
Denmark,"100,489","17,322",0,0%,40,918,158,0,0%,"8,256,533","23,907","75,664","13,043","5,801,283"
Djibouti,"5,717",NA,0,0%,NA,61,61,0,0%,"94,622",51,"5,605",NA,"994,335"
Dominica,85,NA,0,0%,NA,NA,NA,0,0%,"6,175",NA,76,NA,"72,066"
Dominican Republic,"151,721","13,924",0,0%,218,"2,358",216,0,0%,"774,387","30,593","118,770","10,900","10,896,070"
Ecuador,"200,379","11,282",0,0%,346,"13,850",780,0,0%,"682,858","12,341","174,188","9,807","17,761,108"
