Name,Confirmed,Confirmed Per Million,Confirmed Changes Today,Confirmed Percentage Day Change,Critical,Deceased,Deceased Per Million,Deceased Changes Today,Death Percentage Day Change,Tests,Active,Recovered,Recovered Per Million,Population
TOTAL,"67,493,569","8,662","116,116",0.17%,"106,256","1,543,627",198,"2,254",0.15%,"1,051,228,838","19,592,293","46,202,990","5,930","7,792,052,165"
Afghanistan,"48,133","1,225",232,0.48%,93,"1,902",48,27,1.44%,"160,161","8,247","37,984",966,"39,302,396"
Albania,"42,988","14,945",0,0%,35,905,315,0,0%,"199,609","20,466","21,617","7,515","2,876,427"
Algeria,"88,252","1,997",0,0%,46,"2,516",57,0,0%,NA,NA,"57,146","1,293","44,190,369"
Andorra,"7,050",NA,0,0%,20,78,NA,0,0%,"168,635",734,"6,238",NA,"77,319"
Angola,"15,591",468,0,0%,14,354,11,0,0%,"171,247","6,899","8,338",250,"33,298,689"
Antigua and Barbuda,146,NA,2,1.39%,2,4,NA,0,0%,"4,927",8,134,NA,"98,280"
Argentina,"1,463,110","32,245",0,0%,"3,735","39,770",876,0,0%,"4,101,188","128,648","1,294,692","28,533","45,374,992"
Armenia,"142,344","47,998",407,0.29%,NA,"2,344",790,18,0.77%,"530,225","22,351","117,649","39,671","2,965,652"
Austria,"305,693","33,858","2,263",0.75%,616,"3,897",432,57,1.48%,"3,262,088","44,985","256,811","28,444","9,028,674"
Azerbaijan,"146,679","14,410",0,0%,NA,"1,632",160,0,0%,"1,837,001","56,550","88,497","8,694","10,178,675"
The Bahamas,"7,570",NA,0,0%,NA,163,NA,0,0%,"44,502","1,412","5,995",NA,"394,867"
Bahrain,"87,930","50,930",0,0%,10,341,198,0,0%,"2,119,355","1,559","86,030","49,829","1,726,497"
Bangladesh,"479,743","2,901","2,198",0.46%,NA,"6,874",42,36,0.53%,"2,877,538","74,246","398,623","2,410","165,397,901"
Barbados,285,NA,0,0%,1,7,NA,0,0%,"49,307",18,260,NA,"287,528"
Belarus,"148,953","15,766","1,796",1.22%,NA,"1,215",129,8,0.66%,"3,449,089","21,654","126,084","13,345","9,447,969"
Belize,"7,769",NA,0,0%,4,173,NA,0,0%,"43,194","3,747","3,849",NA,"400,721"
Benin,"3,055",249,0,0%,NA,44,4,0,0%,"345,560",104,"2,907",237,"12,258,181"
Bhutan,430,NA,4,0.94%,NA,NA,NA,0,0%,"210,037",NA,388,NA,"775,273"
Bolivia,"145,560","12,397",68,0.05%,71,"8,995",766,3,0.03%,"368,551","11,766","124,799","10,629","11,741,545"
Bosnia and Herzegovina,"94,507","28,885",0,0%,NA,"2,952",902,0,0%,"438,057","32,930","58,625","17,918","3,271,884"
Botswana,"11,531","4,861",0,0%,1,34,14,0,0%,"438,332","2,519","8,978","3,785","2,371,932"
Brunei,151,NA,0,0%,NA,3,NA,0,0%,"77,829",1,147,NA,"439,289"
Bulgaria,"161,421","23,308",0,0%,516,"4,797",693,0,0%,"1,016,807","94,378","62,246","8,988","6,925,518"
Burkina Faso,"3,212",152,0,0%,NA,68,3,0,0%,NA,NA,"2,711",128,"21,146,623"
Myanmar,"99,155","1,817",0,0%,NA,"2,110",39,0,0%,"1,288,365","19,409","77,636","1,423","54,567,774"
Burundi,694,58,0,0%,NA,1,NA,0,0%,"62,215",118,575,48,"12,040,775"
