Name,Confirmed,Confirmed Per Million,Confirmed Changes Today,Confirmed Percentage Day Change,Critical,Deceased,Deceased Per Million,Deceased Changes Today,Death Percentage Day Change,Tests,Active,Recovered,Recovered Per Million,Population
TOTAL,"65,744,839","8,438","221,378",0.34%,"106,329","1,515,647",195,"4,501",0.3%,"1,033,807,036","18,985,325","45,086,504","5,787","7,791,437,873"
Afghanistan,"47,388","1,206",130,0.28%,93,"1,847",47,6,0.33%,"155,916","8,194","37,347",950,"39,295,192"
Albania,"40,501","14,080",0,0%,27,852,296,0,0%,"192,663","19,165","20,484","7,121","2,876,453"
Algeria,"85,927","1,945",0,0%,46,"2,480",56,0,0%,NA,NA,"55,538","1,257","44,183,870"
Andorra,"6,904",NA,0,0%,20,77,NA,0,0%,"168,635",761,"6,066",NA,"77,318"
Angola,"15,361",461,0,0%,14,352,11,0,0%,"171,247","6,765","8,244",248,"33,290,270"
Antigua and Barbuda,144,NA,0,0%,1,4,NA,0,0%,"4,756",7,133,NA,"98,273"
Argentina,"1,447,732","31,908",0,0%,"3,916","39,305",866,0,0%,"4,022,872","133,752","1,274,675","28,094","45,371,596"
Armenia,"139,692","47,104","1,184",0.85%,NA,"2,277",768,23,1.02%,"522,843","22,425","114,990","38,775","2,965,607"
Austria,"297,245","32,924","3,815",1.3%,642,"3,651",404,113,3.19%,"3,209,340","49,819","243,775","27,001","9,028,254"
Azerbaijan,"138,000","13,559","4,267",3.19%,NA,"1,551",152,41,2.72%,"1,797,026","52,649","83,800","8,234","10,177,927"
The Bahamas,"7,549",NA,0,0%,NA,163,NA,0,0%,"43,794","1,452","5,934",NA,"394,836"
Bahrain,"87,432","50,656",0,0%,12,341,198,0,0%,"2,088,613","1,493","85,598","49,593","1,726,009"
Bangladesh,"473,991","2,866","2,252",0.48%,NA,"6,772",41,24,0.36%,"2,836,411","76,268","390,951","2,364","165,384,463"
Barbados,281,NA,0,0%,NA,7,NA,0,0%,"48,582",17,257,NA,"287,525"
Belarus,"143,383","15,176","1,774",1.25%,NA,"1,190",126,9,0.76%,"3,367,889","21,622","120,571","12,762","9,447,994"
Belize,"7,236",NA,0,0%,3,164,NA,0,0%,"41,035","3,501","3,571",NA,"400,662"
Benin,"3,055",249,0,0%,NA,44,4,0,0%,"345,560",104,"2,907",237,"12,255,570"
