Name,Confirmed,Confirmed Per Million,Confirmed Changes Today,Confirmed Percentage Day Change,Critical,Deceased,Deceased Per Million,Deceased Changes Today,Death Percentage Day Change,Tests,Active,Recovered,Recovered Per Million,Population
TOTAL,"64,905,069","8,331","81,375",0.13%,"106,677","1,500,454",193,"2,085",0.14%,"1,024,845,262","18,739,044","44,509,162","5,713","7,791,233,113"
Afghanistan,"47,256","1,203",276,0.59%,93,"1,841",47,19,1.04%,"154,487","8,113","37,302",949,"39,292,791"
Albania,"39,719","13,808",0,0%,27,839,292,0,0%,"188,221","18,968","19,912","6,922","2,876,461"
Algeria,"85,084","1,926",0,0%,46,"2,464",56,0,0%,NA,NA,"54,990","1,245","44,181,704"
Andorra,"6,842",NA,0,0%,20,76,NA,0,0%,"168,635",778,"5,988",NA,"77,317"
Angola,"15,319",460,0,0%,14,351,11,0,0%,"171,247","6,829","8,139",245,"33,287,463"
Antigua and Barbuda,144,NA,0,0%,1,4,NA,0,0%,"4,756",7,133,NA,"98,271"
Argentina,"1,440,103","31,741",0,0%,"3,983","39,156",863,0,0%,"3,975,760","132,589","1,268,358","27,956","45,370,463"
Armenia,"138,508","46,705","1,277",0.93%,NA,"2,254",760,26,1.17%,"519,445","23,026","113,228","38,181","2,965,592"
Austria,"289,461","32,062",0,0%,674,"3,446",382,0,0%,"3,149,372","52,358","233,657","25,881","9,028,113"
Azerbaijan,"129,544","12,728",0,0%,NA,"1,470",144,0,0%,"1,763,609","48,912","79,162","7,778","10,177,677"
The Bahamas,"7,543",NA,0,0%,NA,163,NA,0,0%,"43,794","1,446","5,934",NA,"394,826"
Bahrain,"87,270","50,566",0,0%,12,341,198,0,0%,"2,075,343","1,466","85,463","49,519","1,725,847"
Bangladesh,"469,423","2,838",0,0%,NA,"6,713",41,0,0%,"2,804,174","76,924","385,786","2,333","165,379,983"
Barbados,279,NA,0,0%,NA,7,NA,0,0%,"48,176",17,255,NA,"287,524"
Belarus,"139,908","14,808",0,0%,NA,"1,174",124,0,0%,"3,306,693","21,539","117,195","12,404","9,448,002"
Belize,"5,854",NA,0,0%,7,148,NA,0,0%,"30,881","2,555","3,151",NA,"400,642"
Benin,"3,055",249,0,0%,NA,44,4,0,0%,"336,377",172,"2,839",232,"12,254,699"
Bhutan,415,NA,1,0.24%,NA,NA,NA,0,0%,"205,270",NA,386,NA,"775,181"
Bolivia,"144,994","12,351",184,0.13%,71,"8,972",764,9,0.1%,"364,199","12,349","123,673","10,535","11,739,804"
Bosnia and Herzegovina,"90,378","27,621",0,0%,NA,"2,773",847,0,0%,"425,012","32,638","54,967","16,799","3,272,106"
Botswana,"10,742","4,530",0,0%,1,34,14,0,0%,"422,359","2,796","7,912","3,336","2,371,412"
Brunei,151,NA,0,0%,NA,3,NA,0,0%,"77,493",3,145,NA,"439,243"
Bulgaria,"151,913","21,933",0,0%,523,"4,347",628,0,0%,"990,785","92,360","55,206","7,971","6,926,087"
Burkina Faso,"3,010",142,0,0%,NA,68,3,0,0%,NA,NA,"2,667",126,"21,140,335"
Myanmar,"93,600","1,715",0,0%,NA,"1,998",37,0,0%,"1,202,415","19,001","72,601","1,331","54,563,794"
Burundi,689,57,0,0%,NA,1,NA,0,0%,"62,215",113,575,48,"12,036,888"
Cape Verde,"10,867",NA,0,0%,23,106,NA,0,0%,"105,008",339,"10,422",NA,"558,527"
Cambodia,331,20,2,0.61%,NA,NA,NA,0,0%,"235,154",NA,304,18,"16,815,991"
Cameroon,"24,487",913,0,0%,52,441,16,0,0%,"149,000","1,869","22,177",827,"26,819,878"
Central African Republic,"4,918","1,011",0,0%,2,63,13,0,0%,"32,711","2,931","1,924",395,"4,864,857"
Chad,"1,705",103,0,0%,NA,102,6,0,0%,NA,NA,"1,539",93,"16,620,542"
Hong Kong,"6,590",876,90,1.38%,21,110,15,0,0%,"4,153,109","1,057","5,423",721,"7,522,626"
Macao,46,NA,0,0%,NA,NA,NA,0,0%,"4,238",NA,46,NA,"653,048"
Comoros,613,NA,0,0%,NA,7,NA,0,0%,NA,NA,586,NA,"877,311"
Congo,"5,774","1,036",0,0%,NA,94,17,0,0%,NA,NA,"4,988",895,"5,574,426"
DR Congo,"12,987",143,0,0%,NA,336,4,0,0%,NA,NA,"11,694",129,"90,683,997"
