Name,Confirmed,Confirmed Per Million,Confirmed Changes Today,Confirmed Percentage Day Change,Critical,Deceased,Deceased Per Million,Deceased Changes Today,Death Percentage Day Change,Tests,Active,Recovered,Recovered Per Million,Population
TOTAL,"68,741,600","8,822","177,128",0.26%,"106,351","1,566,602",201,"4,238",0.27%,"1,072,269,548","19,843,516","47,177,245","6,054","7,792,461,683"
Afghanistan,"48,540","1,235",174,0.36%,93,"1,921",49,13,0.68%,"164,062","8,469","38,150",971,"39,307,198"
Albania,"44,436","15,448",0,0%,38,936,325,0,0%,"201,572","20,973","22,527","7,832","2,876,410"
Algeria,"89,416","2,023",0,0%,46,"2,539",57,0,0%,NA,NA,"58,146","1,316","44,194,702"
Andorra,"7,127",NA,0,0%,20,78,NA,0,0%,"173,151",682,"6,367",NA,"77,319"
Angola,"15,729",472,0,0%,14,355,11,0,0%,"171,247","6,904","8,470",254,"33,304,302"
Antigua and Barbuda,146,NA,0,0%,2,4,NA,0,0%,"4,927",8,134,NA,"98,284"
Argentina,"1,469,919","32,393",0,0%,"3,715","40,009",882,0,0%,"4,124,441","124,323","1,305,587","28,772","45,377,256"
Armenia,"144,066","48,578","1,138",0.8%,NA,"2,393",807,21,0.89%,"535,833","21,141","120,532","40,642","2,965,682"
Austria,"311,002","34,445","2,932",0.95%,610,"4,056",449,54,1.35%,"3,302,082","41,131","265,815","29,440","9,028,954"
Azerbaijan,"158,555","15,576","4,403",2.86%,NA,"1,755",172,42,2.45%,"1,884,578","60,470","96,330","9,463","10,179,174"
The Bahamas,"7,579",NA,0,0%,11,163,NA,0,0%,"44,757","1,413","6,003",NA,"394,888"
Bahrain,"88,294","51,131",0,0%,10,345,200,2,0.58%,"2,139,302","1,601","86,348","50,004","1,726,822"
Bangladesh,"484,104","2,927","2,159",0.45%,NA,"6,930",42,24,0.35%,"2,911,664","71,208","405,966","2,454","165,406,860"
Barbados,290,NA,1,0.35%,1,7,NA,0,0%,"50,986",19,264,NA,"287,530"
Belarus,"152,453","16,136","1,851",1.23%,NA,"1,230",130,8,0.65%,"3,487,468","21,273","129,950","13,754","9,447,952"
Belize,"8,013",NA,0,0%,4,179,NA,0,0%,"44,349","3,822","4,012",NA,"400,760"
Benin,"3,090",252,17,0.55%,NA,44,4,0,0%,"360,194",74,"2,972",242,"12,259,922"
Bhutan,433,NA,1,0.23%,NA,NA,NA,0,0%,"212,537",NA,393,NA,"775,320"
Bolivia,"145,846","12,420",189,0.13%,71,"9,002",767,5,0.06%,"370,846","11,614","125,230","10,665","11,742,415"
Bosnia and Herzegovina,"97,317","29,744","1,296",1.35%,NA,"3,151",963,70,2.27%,"452,838","32,844","61,322","18,743","3,271,773"
Botswana,"12,058","5,083",0,0%,1,36,15,0,0%,"455,040","2,622","9,400","3,963","2,372,192"
Brunei,152,NA,0,0%,NA,3,NA,0,0%,"77,829",2,147,NA,"439,311"
Bulgaria,"168,165","24,283",0,0%,514,"5,156",745,0,0%,"1,032,782","93,981","69,028","9,968","6,925,234"
Burkina Faso,"3,469",164,0,0%,NA,69,3,0,0%,NA,NA,"2,742",130,"21,149,767"
Myanmar,"103,166","1,891","1,427",1.4%,NA,"2,174",40,23,1.07%,"1,351,918","19,277","81,715","1,497","54,569,764"
Burundi,716,59,0,0%,NA,1,NA,0,0%,"67,818",85,630,52,"12,042,719"
Cape Verde,"11,118",NA,0,0%,23,109,NA,0,0%,"106,093",297,"10,712",NA,"558,625"
Cambodia,354,21,4,1.14%,NA,NA,NA,0,0%,"242,754",NA,307,18,"16,819,786"
Cameroon,"24,752",923,0,0%,52,443,17,0,0%,"149,000",965,"23,344",870,"26,830,744"
Central African Republic,"4,927","1,012",0,0%,2,63,13,0,0%,"32,711","2,940","1,924",395,"4,866,235"
Chad,"1,729",104,0,0%,NA,102,6,0,0%,NA,NA,"1,573",95,"16,628,301"
Hong Kong,"7,180",954,104,1.47%,39,113,15,1,0.89%,"4,382,709","1,284","5,783",769,"7,523,622"
Macao,46,NA,0,0%,NA,NA,NA,0,0%,"4,238",NA,46,NA,"653,193"
Comoros,617,NA,0,0%,NA,7,NA,0,0%,NA,NA,605,NA,"877,615"
Congo,"5,774","1,035",0,0%,NA,94,17,0,0%,NA,NA,"4,988",894,"5,576,659"
DR Congo,"13,750",152,0,0%,NA,344,4,0,0%,NA,NA,"12,059",133,"90,728,835"
Costa Rica,"147,430","28,826",0,0%,230,"1,846",361,0,0%,"419,572","39,898","105,686","20,664","5,114,474"
Ivory Coast,"21,513",807,0,0%,NA,132,5,0,0%,"226,594",220,"21,161",794,"26,659,921"
Croatia,"159,372","38,928","4,520",2.92%,280,"2,367",578,69,3%,"837,619","23,750","133,255","32,548","4,094,045"
Cuba,"8,982",793,0,0%,12,136,12,0,0%,"1,197,963",799,"8,047",711,"11,323,565"
Cyprus,"13,286","10,969",0,0%,20,68,56,0,0%,"639,047","11,161","2,057","1,698","1,211,212"
Czechia,"556,927","51,963",0,0%,550,"9,136",852,0,0%,"3,242,280","58,032","489,759","45,696","10,717,730"
Denmark,"97,357","16,782","2,558",2.7%,39,904,156,3,0.33%,"8,145,175","22,086","74,367","12,819","5,801,172"
Djibouti,"5,717",NA,3,0.05%,NA,61,61,0,0%,"94,295",57,"5,599",NA,"994,256"
Dominica,85,NA,0,0%,NA,NA,NA,0,0%,"5,655",NA,72,NA,"72,065"
Dominican Republic,"149,630","13,733",0,0%,197,"2,347",215,0,0%,"761,012","29,479","117,804","10,812","10,895,476"
Ecuador,"198,752","11,191",0,0%,351,"13,794",777,0,0%,"674,131","10,770","174,188","9,808","17,759,643"
Egypt,"119,281","1,156",0,0%,46,"6,813",66,0,0%,"1,000,000","8,555","103,913","1,007","103,171,433"
El Salvador,"40,741","6,267",190,0.47%,71,"1,174",181,6,0.51%,"572,266","2,395","37,172","5,718","6,500,579"
Equatorial Guinea,"5,166","3,631",0,0%,NA,85,60,0,0%,"71,619",45,"5,036","3,540","1,422,698"
Eritrea,649,182,0,0%,NA,NA,NA,0,0%,"22,647",NA,517,145,"3,567,808"
Estonia,"16,054","12,099",547,3.53%,26,139,105,2,1.46%,"524,270","6,055","9,860","7,431","1,326,928"
Eswatini,"6,563","5,631",0,0%,11,124,106,0,0%,"63,144",302,"6,137","5,266","1,165,415"
Ethiopia,"114,266",983,0,0%,312,"1,766",15,0,0%,"1,679,245","27,552","84,948",731,"116,191,430"
Fiji,44,NA,0,0%,NA,2,2,0,0%,"17,576",7,35,NA,"899,292"
Finland,"28,732","5,182",490,1.74%,28,425,77,1,0.24%,"2,111,412","10,207","18,100","3,264","5,544,511"
France,"2,309,621","35,349",0,0%,"3,088","56,352",862,0,0%,"27,993,301","2,081,401","171,868","2,630","65,337,099"
